Name,Symbol,Price,Change
Ford Motor Company,F,10.00,-0.01
NVIDIA Corporation,NVDA,117.70,-0.83
"Tesla, Inc.",TSLA,248.71,+12.45
Palantir Technologies Inc.,PLTR,90.96,+3.57
Apple Inc.,AAPL,218.27,+4.17
"Lucid Group, Inc.",LCID,2.4200,+0.1400
NIO Inc.,NIO,4.5000,-0.2100
Intel Corporation,INTC,24.26,+0.30
U.S. Bancorp,USB,42.84,+0.23
Viatris Inc.,VTRS,9.15,-0.29
V.F. Corporation,VFC,16.37,+0.12
Pfizer Inc.,PFE,26.28,+0.09
"Cisco Systems, Inc.",CSCO,60.30,-0.32
Amcor plc,AMCR,9.44,-0.28
"NIKE, Inc.",NKE,67.94,-3.92
Nu Holdings Ltd.,NU,11.59,+0.19
"Amazon.com, Inc.",AMZN,196.21,+1.26
"Super Micro Computer, Inc.",SMCI,42.15,+3.05
BorgWarner Inc.,BWA,28.70,-0.25
"Micron Technology, Inc.",MU,94.72,-8.28
ConocoPhillips,COP,101.92,-0.39
"Mitsubishi UFJ Financial Group, Inc.",MUFG,14.98,+0.65
Carnival Corporation & plc,CCL,20.94,-0.26
Hewlett Packard Enterprise Company,HPE,16.05,-0.05
"Rigetti Computing, Inc.",RGTI,9.07,+0.08
